il,X,Y
adana,-20,-160
adıyaman,210,-90
afyonkarahisar,-420,-8
ağrı,610,130
aksaray-160,-50
amasya,-1,210
ankara,-250,120
antalya,-408,-170
ardahan,560,280
artvin,480,270
aydın,-640,-80
balıkesir,-650,110
bartın,-260,300
batman,478,-80
bayburt,360,170
bilecik,-460,150
bingöl,400,40
bitlis,540,-10
bolu,-330,190
burdur,460,-120
bursa,-550,160
çanakkale,-740,160
çankırı,-180,200
çorum,-80,190
denizli,-540,-90
diyarbakır,370,-60
düzce,-360,220
edirne,-750,290
elazığ,300,-1
erzincan,280,110
erzurum,550,140
eskişehir,-390,100
gaziantep,140,-170
giresun,220,210
gümüşhane,300,180
hakkari,700,-80
hatay,50,-250
ığdır,660,170
ısparta,-400,-90
istanbul,-540,260
izmir,-700,30
kahramanmaraş,110,-90
karabük-250,250
karaman,-200,-170
kars,590,210
kastamonu,-160,280
kayseri,-3,-10
kırıkkale,-170,110
kırklareli,-660,330
kırşehir,-140,60
kilis,120,-200
kocaeli,-470,230
konya,-270,-80
kütahya,-510,60
malatya,180,-10
manisa,-629,10
mardin,420,-130
mersin,-170,-220
muğla,-600,-150
muş,490,40
nevşehir,-90,-10
niğde,-80,-90
ordu,130,230
osmaniye,50,-160
rize,400,250
sakarya,-400,230
samsun,20,260
siirt,540,-60
sinop,-60,300
sivas,110,90
şanlıurfa,280,-160
şırnak,570,-100
tekirdağ,-660,260
tokat,60,170
trabzon,320,230
tunceli,300,50
uşak,-529,-10
van,660,-10
yalova,-540,210
yozgat,-50,100
zonguldak,-310,270
